	youtube_id	comment	like_num
0	11ccom	tony bobulinski press conference	0
1	123123	biden   trump	0
2	13PRAPTIMISHRA	abharam lincoln from heven  hehe i won this	0
3	1mespud	these debates are proof that after high school  life will continue to be high school	204
4	1nlakesh	what a pantomime  the future really does look bleak	0
5	24james	jeffrey toobin is beating off to this right now	53
6	2beSpentOf	youtube stop being biased  all i see are biden commercials   shady shady shady	0
7	330Kid	trump 2020	0
8	555666	it is happening in my country  india  we closed the economy for three months and everything crashed  people are losing their jobs  suicide rate is now even higher  homeless people are dying on the streets  migrant workers are stuck in other states without getting any income  and they have all gone hungry  it is a bad idea to close down a country  more people will die  and that will not be because of the virus  it will be because the country is closed  even though we have a messed up prime minister  now we are slowly regaining our strength as a country  the economy is slowly getting healed up since we started opening the country again  thorough testing have been done and cases have also gone up but more care have also been provided  and many have also developed immunity towards the virus  if you don t believe me you can fact check yourself   but i don t care  your country is not my country  things may work differently over there than here  but i just want to clarify that what trump said   closing down the country is not good   is right  you will all suffer more if you close down your country  and there will be a great threat to your social security if your country weakens economically  your enemies will take advantage of that	0
9	A	socialist us in 2030   kid asked his father  why do you vote for dp in 2020   dad said  we want to get something for nothing  in 2024  the machine will directly determine the victory of dp   dp one party dictatorship   both gop and his supporters were put into re education camps by aoc  dem party media cnn reported  there was a great famine in 2025  they all starved to death	0
10	AAAAA	cnn  face the fact like a man  you have been pushed to the margin	0
11	ADEB	a 100 trillion dollars     wow	1
12	AG	update   biden won and trump is taking is hand gestures to the opera in a show near you	0
13	AGuy	1 13 20  they re like a vacuum cleaner     lmfao	0
14	AHofer	biden did fine  he didnt disqualify himself      lol  is that guy serious	6
15	AKASHCHANDRAN	did trump say india s filthy	1
16	AL	anti china vs pro china	0
17	ALFREDOALVARADO	joe  where is your facemask    donald is cured  trump for life	0
18	ALLCAPSKITTEN	shame on cnn for spreading such fake news     if larry ki ng was dead  he would be rolling in his grave  protesting	2
19	AOManA	c mon biden  just say it    c mon  man     we were waiting for it	92
20	AamirSHAREEF	after watching this debate a dialogue from a movie  comes in my mind    god save america    ps  i don t remember the movie name	26
21	AaronMotown	look  just give us the damn stimulus check	66
22	AaronZywicki	trump is in the lead  with the early votes  saying it  will be a landslide win	0
23	AbdullahHassaballa	i like how their ties match their parties	793
24	AbigailMartin	americans don t panic  huh  they don t  tell that to the grocery stores     ummm    the way the moderator said  why would you do that   when biden said that he would shut down the oil company  he lost her vote	2
25	AboowAboow	what is he talking about  the us has best carbon emissions   sweden has the lowest carbon emissions in the world  that s a fact	0
26	AbrahamLincoln	if you look closely  you can also see the ghost of abraham lincoln debating along with trump and biden too  come on man  lincoln2020 that debate was more civil and cordial than the last debate tbh	206
27	AbuSiddiq	trump  so eloquent and lucid speaker today   anyone going to vote based on today s will vote for trump as one will not know how trump has falsified  manipulated his wods	0
28	AdamAljanabi	who here supports the 2nd amendment	0
29	AdamB	joe biden was firmed and faithful than donald trump	1
30	AddendumKebic	joe biden is a  corpse with a pulse    ha  ha  ha  ha  ha  ha  yeah  but what about hunter biden s laptop	0
31	AdewaleAdekunle	the intro of this debate shows how much the interviewer and the host hated the present us govt  just too obvious	8
32	AdrianIllyrian	trump looks more real then this biden	0
33	AdrianNo	biden kinda looks like hes gonna cry the entire time edit  i m not a trump supporter so stop with that propaganda in the replies	64
34	AdrianTaylor	the way he refer to a black person as  them	2
35	AelwynAscendant	the thing that concerns me the most is that the china situation has been allowed to go on for so long that noone can push them around anymore  if we had another world war  china would be a formidable force  unlike anything the world has seen  i can t see a solution for china	12
36	Ahmed	there is a very strong email	0
37	AhmedIshmila	dictatorship is coming back and mark my word   democracy failed so bad and this debate is an unquestionable evidence for it s failure	0
38	AiVel	i like this moderator  she asks equally tough questions on both sides  as if she realizes the truth  both parties have dropped the ball on the american people  love it     china paid  25 billion to farmers like mexico paid for the wall  lol  could the 10  paying to the big guy be a tithe and the big guy be god  i do not know  i would like to know who the big guy is and why was 10  being paid  was it a commission or a tithe  jim crow joe is a liar when he says americans do not panic  in fact  that is the first thing americans do when confronted with this type of information  then they start to fight	1
39	AidelizCarbajal	everything that biden is saying is facts	0
40	Aidenheeth	the minimum wage in my state for adults over 25      20 god bless australia   thats for working at macdonalds  kmart or any other regular job if youre in sales  its  25  a nurse  27    40   first responders  who risk their fuckin life  deserve more than  15  no wonder less and less people are joining  madness  as a foreigner these debates have proved to be extremely entertaining  it helps me realize how those who ve gained a position in politics  and you can infer the same to anyone in a position of leadership   have the emotional maturity of a child  i see this in my local countries  question time  which is a program which films the discussions had in australian parliament  it d be nice if both sides of the political debate  left vs right  republican vs democrat  labor vs liveral  met in the center and discussed issues as a team  working for its citizens  instead of children debating over how their opponent is wrong  creating straw man arguments which lead to no resolution   thank you for the circus  which is what american politics seems to outsiders  every year i tune in to see how much crazier itll be this season  it never fails to disappoint  i thought bush was a laugh but man  this election has been a true riot  keep on bickering  its really helping resolve the issues which have been ongoing problems since the dawn of civilization or mankind  if a business dies  it can be rebuilt  so long as the demand for the service it produces remains    when people die  except in one case  they generally stay that way  people are the driving factor of any modern workforce  valuing lives first is logical when managing the economy  im no economist  or running a business  if your workers are sick  or dead  the businesses will cease  i get the concern republicans have about the state of the country thanks to the  1t debt the u s  has but it will be unpayable if practical action isn t followed   whats more valuable  money  which is promisary  based on debt and essentially worthless  only a means to gain wealth  or human life  the driving force behind any business or organisation    i pity those of you voting in this election  you re presented with a shit sandwhich  trump  and  a douchbag  biden   the shit sandwhich seemingly values americas economical success over the lives of its people  also who wont recognize the idealogical problems in the us  with the fear of losing voters and the douchebag  who seems incapable of being strong on hardline idealogies  particularly postmodernism and groups which believe in that  ideology  e g  antifa    i hope to see some unknown independent being elected  but the us  and mine  the australian  government system wont dare move away from a duoply  which doesn t reflect a freedom of speech  you re forced to vote for  keep in mind the terms i m bout to use are exaggerations on each  side  i m not for or against either side  a group of hard arse money grabbing bullies or a group of easily manipulated pussies who will bend to the will of the public zeitgeist  irrelevent of if it s helpful or harmful    if youre a yank  no offense  its just what most aussies call americans  be grateful that you have the choice to vote  in my country once you sign up  which is optional  to vote  you cant sign out  you must vote or are charged a  200    300 fine  god bless and if you read this  thanks for your time	0
