	youtube_id	comment	like_num
0	0pticZ0mbie	joe we are tough american people stop trying to coddle     its pathetic  myself and my family agree that our current commander and chief is and always will be for the people and our country      trump 2020 all the way       we are with you mr  pesident	5
1	100fredkrueger	here we go with another 2 on 1   the moderator would always give biden tons of time but hardly gives trump any   and she will cut him off repeatedly   she never does it to biden   gee i wonder why	1
2	10leoo	jill biden fix your family  take better care of your husband	0
3	110Zentau	god bless trump and usa	0
4	111ImNumber1	trump trump trump	0
5	11NightsOfJin	how to speak biden  come on man  dinner tables and families   come on    haha smile	0
6	13Eagles	too bad most americans haven t figured out how corrupt the bidens are  a career politicians on the take  and well funded by those he pays off	0
7	156fish	trump2020	0
8	1776Brewster	trump	0
9	191145colt	trump won the debate  he s a winner and joe hides in the basement   she introduced biden first  not the president of the usa   did any of yo you catch that fk up in protocol   see you next tuesday	0
10	1978ajax	hi joe  thought you might need some help  so listen up now   that lump in the back of your arm  where it bends  well that s your  elbow   got it   and that horrible  wrinkly  wobbly thing with the crack in it  that follows you round all day  well	0
11	1979stillhanginginthere	arrest biden  arrest biden now	0
12	1cyberrider	president trump is responsible for 220k deaths  lol   is he nuts or what	0
13	1foreverr	trump completely demolished biden   biden  we are going to do blah  blah  blah trump  we have already done that trump 2020	275
14	1je	malarkey	0
15	1mamazing	california is struggling and it s newsoms fault not the presidents  the majority of california is looking like it s voting red but i m sure they ll call it blue	2
16	1man1van	by wearing masks you are protecting the virus from humans from being able to become immune from it  through evolution  humans have always survived by immunity	30
17	2005RavenR6	biden is saying thug alot  i thought the left says thug is a racist term	0
18	23v0lv32	donald  you know who the tax payer is  china   trump	0
19	2D	this debate in a nutshell    u    no u	1
20	2KBBallUpdates	fun fact  all the news channels with the letter c in it are corrupt  abc cnn  msnbc  nbc  if i m missing any other news channel comment	0
21	2ndAmendmentforlife	bruh did sleepy joe call trump abraham lincoln    i m confused lmao 1 33 10	0
22	318Overwatch	biden quotes   i will ban fracking  the voters don t deserve to know about what i will do with the supreme court  i never discussed business deals with my son  fossil fuels must be phased out  obamacare will be improved to be bidencare  you vote for me i m gonna raise your taxes    sorry joe  i lived through 8 years of your being in the  2 chair  i saw my income decrease  businesses leave in droves  my taxes went higher as did my costs of living  your hope and change did absolutely nothing to improve this country  i m going with the guy who has improved these situations  while under attack  and constantly being beleaguered  my income improved  jobs became more available  my taxes went down  and in general people were more satisfied     good day sir  i m not buying your lines of rhetoric  or your ill gotten business deals	124
23	330Kid	i just voted today and can t wait to ride the red wave to the white house  trump 2020	2
24	3FIL6EKS9	c mon man	1
25	3ishul333	biden harris 2020   make chyna great again president trump is the greatest of all time   trump is g o a t	2
26	450exc	was really surprised with the moderator this time  great job kristen	0
27	4LVOFCOUNTRYAmericans1st	another anti trump moderator this debate  commission is a joke and should be banned from ever hoisting a debate ever again	1
28	4u25out	joe is weak	1
29	51MontyPython	says he wouldn t have shut down the country  he would have  shut down the virus       by shutting down the country   makes a lot of sense	10
30	55ostar	why these old people still in office and by the way biden is reading again wow when we have some good to help the people the other try there best to distory the other one shame on all     another old man don t these people retired	0
31	5KsubscribersNovideochallenge	biden is an complete idiot  latinos for trump trump 2020	1
32	5switch09	all biden does is fearmonger  pander and slander the president	0
33	64Asia	who built the cages  joe  who built the cages      crickets change the subject	502
34	6N5	once again  democrats think insults and name calling are arguments     did joe biden call china one of our allies  sure sounded that way too me	0
35	6stringmyles	did he pull a mic or something out of his sleeve at the end	0
36	760BabyGirl	trump dont let then get u down u qre the best president in the world my son and i need you to save his generation from weirdo socialist trying to chabge our democracy	0
37	777ENDTIMES	i love trump  righteous brother of god	0
38	808Bunny	happy trump has improved  despite him having a biased moderator as usual	111
39	9134smoke	joe u lost bro lol sry dude but u lost  joe will start ww3 c mon man lol	3
40	95ofmycommentsgetdeleted	trump is the man	0
41	9B17	c mon man	0
42	A	hour and a half in and joe s memory meds are wearing off  dudes going blank  we need to move away from a two party monopoly  these guys are both idiots  political parties were never part of our constitution  these guys are idiots and we re loosing our nation   45 is done   next door to prison   bye bye           2020 blue	0
43	A8B2	joe biden  more like  slow  biden	20
44	AA	that s your plan joe    to mandate wearing mask  all else that you ve said has already been done by trump  what else are you going to do differently from what he has already accomplished    do you want all american people to follow your lead and stay at the basement    that is your solution in this world wide pandemic     i didn t even hear any plans at all from you     trump already did all of it   and did you just say abraham lincoln the racist joe	0
45	AAgu	hey president idiot the reason why dr  felty said not to wear a mask in the beginning he didn t want the public to panic and buy all the masks so all the emergency care takers would have enough mask to get through the pandemic	1
46	AB	hats off to the host though  she was wonderful at her job  i think there are other topics that are bigger than the ones she presented  trump 2020 greetings from switzerland	1
47	ABILLIONFOLLOWERSBUTNOVIDEO	russian bots reeee russian bots reeeeee	0
48	ABRingering	they look ridiculous in those stupid and useless masks  and jills matches her dress   but melanie is right to use one  since she s still not 100  we ll  which is the correct instance to mask  solar and wind are expensive and unreliable  read  the moral case for fossil fuels  the developing world uses fossil fuels because it s affordable and plentiful   biden is an fear mongering liar  unions haven t endorsed biden s healthcare plan because nobody knows his healthcare plan   liar	70
49	ABrooks	joe s a lying old piece of crap   he a man with zero loyalties zero principles he married his friends wife they are pure trash   thats my opinion hes 100 percent politicians and hes trash	0
50	AC	jajajaj i bet  trumps is crying  in his closet  right now	0
51	ADAMMundell	american s don t panic  um yes  they do	51
52	ADAVANCEDADAM	sloppy joe wanna give hope over fear  but he kept monging fear throughout the debate	0
53	ADB	dems are fkn dangerous	0
54	ADEB	trump is right  biden had 8 years with obama  why didn t he did or change things for development  which he is claiming he will this time	4
55	ADHDGuitarLessons	my god all those introductions  gag  who were those guys  and that was terrible they should never get behind a mic before an audience ever again   and what was with all that how important the debate is in this and that well we don t have to care if it s important if we don t want to  right  i just wanna hear the potus you re not important   get over yourself   i just didn t see it necessary for these guys  they were driving me nuts  my ears are bleeding	0
56	ADHDan	im not an american but if i was i would vote trump for sure   biden is the textbook of corrupt career politician	2
57	AF	america please please please please do not vote for democratic party and china  just vote for republican party and your country  and this beautiful world of ours	0
58	AFBYuuki	i think joe use wire	6
59	AFathersDevotions	he s not gonna lose  it will be just like 2016  sorry folks	0
60	AG	trump 2020 2024  yes  joe is lies	0
61	AG123	armenians for trump	0
62	AGAMdrol	2 33 35 wow   abraham lincoln here   i know you hate him joe because he took away your slaves but he s dead now  you re facing donald trump	0
63	AGNESADORJAN	this debate was so unfair  the moderator interrupted trump consistently and talked while he explained his policies  biden got all the time  uninterrupted  biden crime family should all be locked up and hunter biden s laptop content should be made public for the masses to see how biden benefitted from shady deals even from his family  make biden s bank account public and subpoena his accountant to disclose under oath what he knows about biden s wealth after 40  years working for himself in congress  he should be locked up instead of allowed to run for presidency  trump worked his butts of for america  did more for the people in 4 years than all of them together for 50 years before  trump for 4 more years  go potus  drain the swamp and finish the job	1
64	AGunners	trump was fantastic  if bidens nose grew every time he lied it would have already reached my living room here in australia  looking forward to celebrating trumps win on nov 3  god bless america	1
65	AJ	when joe says  here s the deal   he is actually saying  here s the lie	40
66	AJDAtchet	trump   he speaks so fluently    what a man   love to the president	8
67	AJFehr	back to the lab with you joey  trump is the boss	1
68	AJUnlimited	who else here are trump supporters   why is biden speaking as if his lungs are only at 10  capacity	3
69	AK	she s so biased it s disgusting  interrupting all the time and cutting time short   and i m sure as hell they choose latin american woman moderator just to whip up any excuse to call trump racist misogynist after any minuscule  ridiculous slip up that liberals would blow out of proportion   the further into video i get  the more she infuriates me  literally beyond belief   biden going be the new pandemic wait and see   lol	1
70	AKAThemacboy	boom    trump smashes it  again x trump is not only authentic and has got this election  he s also an amazing speaker and humanitarian too  go  trump  go  trump  go trump	0
71	AL	anti china vs pro china	0
72	ALANROSS	trump 2020	0
73	ALBANIA	love this and be strong  you never know who you are inspiring	0
74	ALEKZ6197	fox news is a joke just like the mentality of ur maga president with his 6th grade common vocabulary    worst of all white americanz who think this idiotic piece of human is not lying in  your face  if u cant show your taxes dont say you payed them  period	0
