,youtube_id,comment,like_num
0,0doubledseven,i honestly thought biden was gonna stop mid way through the debate and ask where he was,0
1,11WaterSkier11,i have been a by mail absentee voter for over five years  they send me double on notices gearing uo to election but did not send my ballot  there is voter fraud in california  i have proof,0
2,17THEHOGG,i  m going to say this and i  hope everyone can see the simplicity of it    we the people can economically control our issues  the problem is the millionaires and billionaires of the world are so egotistical and only thinking about themselves that these politicians know that   we need them  just to make ends meet  if we all  wealthy or not  just whole heartedly donated to each other every month  and yes the more wealthy people could afford more  than we could really cut out the middle men  politicians   we can do this    it  s what  s called a revolving door of currency  yes the more wealthy would receive money via cashapp paypal every other month too  that means no discrimination or bias at all  can we please unify and make this happen    all it takes is genuine love for you  re fellow human beings and organization with the common goal of everyone at least being comfortable  i know crime  abortions and suicide would drop so low   if people who are in the higher tax bracket would just snap out of it and realize that you cannot take any money with you when you die  than maybe  just maybe they would see how many lives they can actually change instead of buying materialistic things  you  d be amazed at the change in the united states of america   i know this may be a little hard to read and understand but i can break this down so simple  we need each other  everyone on every level donates   and i bet we will not need these politicians and   stimulus packages  so bad  my cashapp is  17thehogg and my email is 17thehogg gmail com i pray that someone or some people understand  if not just email me and let  s exchange numbers and talk  i know this can work    nobody looking down on anyone or feeling like they  re better than anyone else  peace and love to all,0
3,1800SHORDIE,come pu   america la massima espressione della democrazia rischiare di cadere in dittatura cinese,2
4,1979stillhanginginthere,thanks for showing us your beautiful wife s and letting us know there won t be a nuclear war,1
5,1Asleep2Nonsense,good evening  welcome to the wwe  let s get ready to  rumble,0
6,1foreverr,much better moderator than chris wallace in spite of her politics  kudos,27
7,1stingmusic,take a look when will happen if trump wins again,0
8,214EGGNZLZ,advisors  mr president we have a plan to respond to the virus  trump  no idnt see it that   stand down there s nun to worry about  it will go away in a couple of days    months later over 250000 citizens dead bcuz he failed to be a leader,8
9,2gointruthWithGoodNewsofTheTrueGospel,here follows a summary of the lord god  s message to all people of every nation       do not seek revenge or bear a grudge against anyone among your people  but love your neighbour as yourself  i am the lord      at leviticus 19  18          i will raise up for them a prophet like you  moses  from among their fellow israelites  and i will put my words in his mouth      deuteronomy 18  18          therefore the lord himself shall give you a sign  a young woman is with child  and she will bear a son  and will call him immanuel      god is with us      the prophet isaiah 7  14         if you have ears to hear  then hear      the prophet immanuel  called jesus the messiah  at mark 4  23         god is spirit  and those who worship him must worship him in spirit and in truth      jesus   at john 4  24          in truth i tell you  anyone who gives heed to what i say and puts his trust in him who sent me  has hold of eternal life and does not come up for judgement  but has already passed from death to life      at john 5  24          when you pray  go into a room by yourself  and shut the door  pray to your father who is there in the secret place  and your father who sees what is secret will reward you    in your prayers do not go babbling on like the heathen  who imagine that the more they say the more likely they are to be heard    do not imitate them  your father knows what your needs are before you ask him    this is how you should pray   our father in heaven  hallowed be your name   your kingdom come  your will be done  on earth as in heaven   give us today our daily bread    forgive us the wrong we have done  as we have forgiven those who have wronged us   and do not bring us to the test  but save us from the evil one    for yours is the kingdom and the power and the glory  for ever    amen    for if you forgive others the wrongs they have done  your heavenly father will also forgive you  but if you do not forgive others  then the wrongs you have done will not be forgiven by your father      jesus  at matthew 6  6 15         pass no judgement  and you will not be judged  for as you judge others  so you will yourselves be judged  and whatever measure you deal out to others will be dealt back to you      at matthew 7  1 2        continued below,0
10,2phalanges,trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump     trump,0
11,334665eric7788977,biden  get out of usa  really traitor  i get angry when i hear your baseless words,1
12,3rdEye,is this video repeating on itself   both candidates are funny    we will have a bright future,0
13,4747,trump 2020 we keep our guns,0
14,4banger1234,genius  the pharmaceutical elites will have  trillions more now as they  ve been given the rest of your hard earned taxes,4
15,53Boyz53Mafia,the media cheated and manipulated everyone and also biden cheated with all those fake votes and ballots i m sure my friends didn t vote in atlanta and california but i m sure they had a ballot in their name so it looked legitimate,0
16,60panhead,i hope trump win,2
17,63frogsinahat,clones,0
18,805GAMER805CASB,trump vs  crazy     crazy wins   listening to trump is like listening to a drunk uncle that everyone hides from during family functions  but he finds you                              17 30  by the way  not many of you are gonna die  wtf,0
